Balance,879,772,,,,,,,,GEARBOX,,,,,,,,MOTOR,,,,,,,,,BRAKE,,,,,,REMARK
,,,,,,,,,,Version,,,Input Configguration,,,,,,,,,,,,,,,,,,,,
No.,Code,Full designation,Nick designation,Quantity,General name,Type,Size,Manufactory,Origin,Type,Shaft,Flange,Type,Shaft,Flange,Mouting Position,Option,Code,Type,Power,Pole,Voltage - Frequency,Degree of Protection,Insulation Class,Mouting,Terminal Box Position,Brake Type,Brake Torque,Brake Hand Release,Rectifier Type,Brake Supply,Option,
1,MEA70228001Q,,C 22 2 F 12.4 S2 V1 M 2SA 4,2,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
2,MEA80278001H,,C 12 2 F 15.4 S05 V1 DL M 05C 4,0,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,- Chýa tra ðý?c m? trên Mosaico
3,2G20011231,,W 63 U 19 P71 B5 B3,9,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
4,2G22013031,,WR 63 U 240 P71 B5 B3,1,Gearbox,Helical-worm gear unit,WR 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
5,MEA10228001T,,C 32 2 F 29.8 S2 V1 DL M 2SB 4 IP56,8,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
6,2EA10248000X,,C 32 2 F 25.1 P90 V1 DL,6,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
7,2EA102380011,,C 32 2 F 40.7 P80 V1 DL,11,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
8,ME170524000U,,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,10,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
9,MEA30538000D,,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,10,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
10,2T304L4A18000M,,3 04 L4 1018 FP P71 T G0A,4,Gearbox,Planetary gearbox,3 04,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
11,ME1501600004,,C 41 2 P 37.1 S3 B3 M 3SA 4,9,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
12,MEA10121000J,,C 32 2 P 40.7 S2 B3 M 2SA 4,1,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,830F2310M,,,,,,,,,,,,,,,
13,2EA30151000A,,C 36 2 P 19.0 P100 B3,1,Gearbox,Inline gearbox,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
14,MEA7012100CJ,,C 22 2 P 20.0 S2 B3 M 2SA 4 W20 RAL7042 C3,5,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,830F2210M,,,,,,,,,,,,,,,
15,MEA102380029,,C 32 2 F 29.8 S3 V1 DL M 3SA 4 IP56,43,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
16,831320100,,BN 100LA 4 B5 IP55,8,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
17,MEA801110007,,C 12 2 P 20.6 S1 B3 M 1SD 4,10,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
18,200580363,,VF 49 L1 P1 100 P63 B5 B3,5,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
19,202980091,,VF 44 L1 P1 14 P63 B5 B3,3,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
20,200580092,,VF 49 L1 P1 14 P71 B5 B3,3,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
21,8D32020003,,BN 80C 4 B5 IP55,0,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
22,2G24012741001,,W 75 U D30 60 P80 B5 B3,3,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
23,2G24011841001,,W 75 U D30 30 P80 B5 B3,0,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
24,2G24011851,,W 75 U D30 30 P90 B5 B3,2,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
25,2G20011841,,W 63 U 30 P80 B5 B3,1,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
26,2G20010631,,W 63 U 10 P71 B5 B3,4,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
27,MG2001270114,,W 63 U 64 S1 V5 M 1SD 4,6,Gearmotor,Wormgear unit,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
28,MEA80218001K,,C 12 2 F 10.1 S1 V1 DL M 1SD 4,1,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
29,MEA80228001D,,C 12 2 F 8.8 S2 V1 M 2SA 4,0,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
30,MEA80111001N,,C 12 2 P 29.5 S1 B3 M 1SD 4,10,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
31,2T306L3205003V,,3 06 L3 205 HC P80 T LM,4,Gearbox,Planetary gearbox,3 06,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
32,ME1505510015,,C 41 2 UFA 28.3 S3 V1 DL M 3LA 4,0,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
33,2EA401510003 ,,C 36 3 P 28.7 P100 B3 ,1,Gearbox,Inline gearbox,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
34,8D62020004,,BN 132S 4 B3 IP55,1,Motor,Electric,BN 132,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
35,MEA10131000Z,,C 32 2 P 29.8 S3 B3 M 3SA 4 ,14,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
36,2EA10248000Y,,C 32 2 F 29.8 P90 V1 DL ,25,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
37,2EA70248000S,,C 22 2 F 20.0 P90 V1 DL ,10,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
38,MEA70131000Q,,C 22 2 P 9.6 S3 B3 M 3SA 4,9,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
39,MEA70228001R,,C 22 2 F 12.4 S2 V1 DL M 2SA 4,9,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
40,MEA102380028,,C 32 2 F 14.1 S3 V1 DL M 3SA 4 IP56,6,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
41,MEA80121000Z,,C 12 2 P 10.1 S2 B3 M 2SA 4,9,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
42,MEA70238001L,,C 22 2 F 14.5 S3 V1 DL M 3SA 4,2,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
43,MEA80111000Y,,C 12 2 P 10.1 S1 B3 M 1SD 4,10,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
44,ME190566000G,,C 51 2 UFA 47.8 S3 V1 LO DL M 3LA 4 ,6,Gearmotor,Inline-gear unit,C 51,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
45,ME60G058002L,,A 30 2 UH35 59.4 S2 B3 DV M 2SA 4 IP56 W30,0,Gearmotor,Bevel-gear unit,A 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
46,ME60G058002S,,A 30 2 UH35 59.4 S2 VB DV M 2SA 4 IP56 W30 RAL7042 C3,0,Gearmotor,Bevel-gear unit,A 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
47,ME65G038001Q,,A 41 2 UH45 58.8 S2 VB DV M 2SA 4 IP56 W40 RAL7042 C3,0,Gearmotor,Bevel-gear unit,A 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
48,8U1203000E,,BE 100LA 4 B5 IP56,13,Motor,Electric,BE 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
49,80B-4B5,,Motive 80B-4 B5 0.75 kW Atex,1,Motor,Electric,Motive 80,Motive,Italy,,,,,,,,,,,,,,,,,,,,,,,,
50,8D44020055,,BN 90LA 4 B5 IP55 CLH,1,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
51,2G20010931,,W 63 U 15 P71 B5 B3,2,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
52,831420516,,BN 100LB 4 B3 IP55,0,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
53,2G28011841,,W 86 U 30 P80 B5 B3,2,Gearbox,Worm gearbox,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
54,2G28011851,,W 86 U 30 P90 B5 B3,3,Gearbox,Worm gearbox,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
55,2G20010651,,W 63 U 10 P90 B5 B3,9,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
56,2G30013341,,WR 86 U 240 P80 B5 B3,0,Gearbox,Helical-worm gear unit,WR 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
57,MEA10121007F,,C 32 2 P 40.7 S2 B3 M 2SA 4 RAL7042 C3,5,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,830F2310M,,,,,,,,,,,,,,,- C?n ki?m tra th?c t? có sõn và ph? C3 hay không?
58,2G20012441,,W 63 U 45 P80 B5 B3,4,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
59,2G20011541,,W 63 U 24 P80 B5 B3,0,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
60,2G20013031,,W 63 U 80 P71 B5 B3,4,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
61,2G20012731,,W 63 U 64 P71 B5 B3,1,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
62,MEA10131004W,,C 32 2 P 20.1 S3 B3 M 3LA 4,0,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
63,MEA701210075,,C 22 2 P 20.0 S2 B3 M 2SA 4 E20,2,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,8E36020041,,,,,,,,,,,,,,,
64,MEA40528000U,,C 36 3 UFA 48.2 S2 V1 DL M 2SB 4,1,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
65,MEA702380012,,C 22 2 F 9.6 S3 V1 DL M 3SA 4,2,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
66,MEA80111000D,,C 12 2 P 32.8 S1 B3 M 1SD 4,1,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
67,MEA70121001D,,C 22 2 P 29.6 S2 B3 M 2SA 4,9,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
68,MEA702280023,,C 22 2 F 29.6 S2 V1 DL M 2SA 4 IP56,1,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
69,MEA70121001C,,C 22 2 P 20.0 S2 B3 M 2SA 4 W20,10,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,830F2210M,,,,,,,,,,,,,,,
70,200650301,,VF 49 F1 60 P71 B5 B3,11,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
71,200680182,,VF 49 P1 24 P63 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
72,200680061,,VF 49 P1 10 P71 B5 B3,6,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
73,200450129,,VF 44 F1 20 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
74,200270061,,VF 27 F2 10 P27 B3,0,Gearbox,Worm gearbox,VF 27,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
75,830321000,,BN 27C 4 IP55 CLF,0,Motor,Electric,BN 27,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
76,200680152,,VF 49 P1 18 P63 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
77,MEA40131002K,,C 36 3 P 22.1 S3 B3 M 3LA 4 ,3,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
78,2T301L2038003D,,3 01 L2 38.4 HC P80 T LM,1,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
79,2T304L30630021,,3 04 L3 63.1 HC P80 T LM,1,Gearbox,Planetary gearbox,3 04,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
80,2EA802280010,,C 12 2 F 25.4 P71 V1 DL ,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
81,2EA80228000Z,,C 12 2 F 20.6 P71 V1 DL,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
82,2EA802280011,,C 12 2 F 29.5 P71 V1 DL,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
83,2EA70228000O,,C 22 2 F 43.3 P71 V1 DL ,5,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
84,2EA80228000Y,,C 12 2 F 15.4 P71 V1 DL,8,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
85,ME1501510010,,C 41 2 P 28.3 S3 B3 M 3LA 4,2,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
86,MEA101310013,,C 32 2 P 20.1 S3 B3 M 3SA 4,2,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
87,ME150151002X,,C 41 2 P 28.3 S3 B3 M 3LA 4 RAL7042 C3,5,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
88,2EA102380012,,C 32 2 F 52.4 P80 V1 DL,10,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
89,2G20011241,,W 63 U 19 P80 B5 B3,8,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
90,2G20021241,,W 63 UF1 19 P80 B5 B3,4,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
91,2G200112G1,,W 63 U 19 P71 B14 B3,1,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
92,2EA80242000J,,C 12 2 F 6.2 P90 B5 ,0,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
93,2G20010941,,W 63 U 15 P80 B5 B3,0,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
94,2G24011251,,W 75 U D30 20 P90 B5 B3,2,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
95,ME52A0030032,,A 10 2 UR 5.5 S3 B3 M 3SA 4,4,Gearmotor,Bevel-gear unit,A 10,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
96,200380069,,VF 30 P1 10 P63 B14 B3,0,Gearbox,Worm gearbox,VF 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
97,8D31020322,,BN 80B 4 B5 IP56,21,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
98,831120676,,BN 90LA 4 B5 IP56,32,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
99,8D520206B9,,BN 100LB 4 B5 IP56,0,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
100,200350061,,VF 30 F1 10 P63 B5 B3,0,Gearbox,Worm gearbox,VF 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
101,200680211,,VF 49 P1 28 P71 B5 B3,0,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
102,MEA301310003,,C 36 2 P 19.0 S3 B3 M 3LA 4,1,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
103,1G32010901,,W 110 U 15 HS B3,1,Gearbox,Worm gearbox,W 110,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
104,831420106,,BN 100LB 4 B5 IP55,0,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
105,MEA701310051,,C 22 2 P 9.6 S3 B3 M 3LA 4,7,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
106,200680151,,VF 49 P1 18 P71 B5 B3,6,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
107,200620241,,VF 49 A 36 P71 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
108,200480331,,VF 44 P1 100 P63 B5 B3,8,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
109,2004502110029,,VF 44 F1 46 P63 B5 B3 VV,2,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
110,200480241,,VF 44 P1 60 P63 B5 B3,4,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
111,200480153,,VF 44 P1 28 P71 B5 B3,2,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
112,MEA70248000C,,C 22 2 F 9.6 P90 V1 DL BN 90S 4,7,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
113,MEA10248000J,,C 32 2 F 12.3 P90 V1 DL BN 90LA 4,5,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
114,2G20012131,,W 63 U 38 P71 B5 B3,3,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
115,2G24012441,,W 75 U D30 50 P80 B5 B3,7,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
116,2G20012431,,W 63 U 45 P71 B5 B3,3,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
117,ME150551001F,,C 41 2 UFA 28.3 S3 V1 DL M 3SA 4,0,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
118,MEA102380022,,C 32 2 F 45.3 P80 V1 DL BN 80A 4,2,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
119,830820106,,BN 80A 4 B5 IP55,6,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
120,200680241,,VF 49 P1 36 P71 B5 B3,3,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
121,200480063,,VF 44 P1 10 P71 B5 B3,10,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
122,200450063,,VF 44 F1 10 P71 B5 B3,4,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
123,200480091,,VF 44 P1 14 P63 B5 B3,5,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
124,2T301L4A22002,,3 01 L4 1022 HC P71 T,4,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
125,MEA40121001D,,C 36 3 P 38.1 S2 B3 M 2SB 4,7,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
126,830520106,,BN 63B 4 B5 IP55,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
127,8D10020055,,BN 63B 4 B5 IP56,2,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
128,830520156,,BN 63B 4 B14 IP55,0,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
129,8D09030033,,BN 63A 6 B5 IP56,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
130,8D10030116,,BN 63B 6 B5 IP56,6,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
131,200450339,,VF 44 F1 100 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
132,200470219,,VF 44 F2 46 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
133,200670031,,VF 49 F2 7 P71 B5 B3,0,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
