Balance,879,772,,,,,,,,GEARBOX,,,,,,,,MOTOR,,,,,,,,,BRAKE,,,,,,REMARK
134,830720106,,BN 71B 4 B5 IP55,2,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
135,831120906,,BN 90LA 4 B3 IP55,1,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
136,200420061,,VF 44 A 10 P63 B5 B3,0,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
137,830420106,,BN 63A 4 B5 IP55,3,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
138,830620106,,BN 71A 4 B5 IP55,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
139,830510500,,BN 63A 2 B5 IP55,3,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
140,8D11020001,,BN 63C 4 B5 IP55,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
141,8D17020001,,BN 71C 4 B5 IP55,1,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
142,830620156,,BN 71A 4 B14 IP55,1,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
143,2T306L4E75001H,,3 06 L4 1475 FP P71 T G0A,1,Gearbox,Planetary gearbox,3 06,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
144,2EA70228000K,,C 22 2 F 48.6 P71 V1 DL,2,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
145,M37950210031,,VFR 44 F1 350 S44 B3 BN 44C 4,0,Gearmotor,Helical-worm gear unit,VFR 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
146,2G28010651,,W 86 U 10 P90 B5 B3,5,Gearbox,Worm gearbox,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
147,831120106,,BN 90LA 4 B5 IP55,0,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
148,2E150551580002,,C 41 2 UFA 28.3 P100 V1 DL,21,Gearbox,Inline gearbox,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
149,2EA70248000Q,,C 22 2 F 11.1 P90 V1 DL,4,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
150,2EA70248000R,,C 22 2 F 14.5 P90 V1 DL,2,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
151,2EA70238000V,,C 22 2 F 15.8 P80 V1 DL,5,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
152,2EA70238000U,,C 22 2 F 29.6 P80 V1 DL,2,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
153,ME190142006S,,C 51 2 P 21.0 S3 B3 LO M 3LC 4,1,Gearmotor,Inline-gear unit,C 51,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
154,2EA80238000L,,C 12 2 F 10.1 P80 V1 DL,2,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
155,2EA80228000X,,C 12 2 F 10.1 P71 V1 DL,5,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
156,ME1706420029,,C 41 3 UFB 102.3 P80 B5 BN 80B 4,0,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
157,MEA70121002G,,C 22 2 P 9.6 S2 B3 ME 2SB 4,0,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
158,VE02C02210001,,V 0.5 F D14 P71 B3 1,0,Gearbox,Helical-worm gearbox,V 0,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
159,MEA10131001R,,C 32 2 P 11.2 S3 B3 M 3LB 4,0,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
160,M37880330009,,VFR 49 P1 300 P63 B5 B3 BN 63A 4,0,Gearmotor,Helical-worm gear unit,VFR 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
161,2T301L2064002F,,3 01 L2 64.8 PC P100 E LM RAL7042 C3,2,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
162,210310272,,AS 16 P 20.96 071 B5 B3,0,Gearbox,,AS 16,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
163,MEA40131000E,,C 36 3 P 38.1 S3 B3 M 3SA 4,0,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
164,MG2001090033,,W 63 U 15 S1 B3 M 1LA 4,0,Gearmotor,Wormgear unit,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
165,145666090A,,TA 50 55 D 15 HS A,0,Gearbox,,TA 50,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
166,145876090A,,TA 60 70 D A 15 HS A,0,Gearbox,,TA 60,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
167,2G24012131,,W 75 U D30 40 P71 B5 B3,0,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
168,200680181,,VF 49 P1 24 P71 B5 B3,0,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
169,830610516,,BN 63B 2 B3,0,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
170,831110106,,BN 90SA 2 B5,0,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
171,830720156,,BN 71B 4 B14,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
172,830620626,,BN 71A 4 B5 CLF IP56 ,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
173,830710506,,BN 71A 2 B5,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
174,ME60G0480006,,A 30 2 UH35 39.3 S3 B3 M 3SA 4,0,Gearmotor,,A 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
175,8D30030078,,BN 80A 6 B5 CLF IP56,0,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
176,2G28011261,,W 86 U 20 P100 B5 B3,2,Gearbox,,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
177,8F44020005,,BN 90LA 4 FD B5 CLF IP54,0,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
178,ME6AG051000E,,A 35 2 UH40 41.8 S3 B3 M 3LA 4,0,Gearmotor,Bevel-gear unit,A 35,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
179,2T309R31200035,,3 09 R 3 120 FP P160 B0 G0A LM,0,Gearbox,Planetary gearbox,3 09,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
180,8D43010040,,BN 90L 2 IP56 CLF B5,1,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
181,8F320201GP,,BN 80C 4  IP55 CLF B5 FD 10,0,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
182,2EA101310008,,C 32 2 P 20.1 P80 B3,1,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
183,8U21030003,,BE 132S 4 230/400-50 IP55 CLF B3,0,Motor,Electric,BE 132,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
184,8U21030001,,BE 132S 4 230/400-50 IP55 CLF B5,0,Motor,Electric,BE 132,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
185,2G24010951,,W 75 U D30 15 P90 B5 B3,4,Gearbox,Wormgear unit,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
186,2EA70238000W,,C 22 2 F 20.0 P80 V1 DL,5,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
187,2G20010355,,W 63 U 7 P90 B5 V6,3,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
188,2T301L3142002U,,3 01 L 3 142 PC P80 E LM RAL7042 C3,1,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
189,MEA60111003Y,,C 22 3 P 60.0 S1 B3 M 1SD 4 IP55 RAL7042 C3,1,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
190,MEA80171005F,,C 12 2 P 42.3 S05 B3 M 05C 4 IP55 RAL7042 C3,1,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
191,2G20011831,,W 63 U 30 P71 B5 B3,4,Gearbox,Wormgear unit,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
192,2T301L32990021,,3 01 L 3 299 PC P71 E LM RAL7042 C3,1,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
193,8D5112007C,,BN 100LA 2/4 400-50 IP56 CLF B5,2,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
194,8E04020002,,M 05C 4 IP55 CLF W10,0,Motor,Electric,M 05,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
195,JB00024294,,X_BE 100LB 4 IP56 CLF B5 Spec,0,Motor,Electric,X_BE 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
196,8D310211E4,,BN 80B 4 B3 IP56 RAL5010,1,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
197,MEA10528000L,,C 32 2 UFA 29.8 S2 V1 DL M 2SA 4,1,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
198,831520106,,BN 112M 4 B5,1,Motor,Electric,BN 112,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
199,830720136,,BN 71B 4 B3,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
200,2G28011251,,W 86 U 20 P90 B5 B3,3,Gearbox,Worm gearbox,W 86,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2G28011861,,W 86 U 30 P100 B5 B3,4,Gearbox,Worm gearbox,W 86,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2G28012151,,W 86 U 40 P90 B5 B3,4,Gearbox,Worm gearbox,W 86,,,,,,,,,,,,,,,,,,,,,,,,,,
203,8F3102112T,,BN 80B 4 B5 IP55 FD 10 NB 230 SA,1,Motor,Electric,BN 80,,,,,,,,,,,,,,,,,,,,,,,,,,
204,8D150204BS,,BN 71A 4 B5 IP56 RAL5010 C4,1,Motor,Electric,BN 71,,,,,,,,,,,,,,,,,,,,,,,,,,
205,831110726,,BN 90SA 2 B3,0,Motor,Electric,BN 90,,,,,,,,,,,,,,,,,,,,,,,,,,
206,200450033,,VF 44 F1 7 P71 B5 B3,5,Gearbox,Worm gearbox,VF 44,,,,,,,,,,,,,,,,,,,,,,,,,,
207,200450093,,VF 44 F1 14 P71 B5 B3,4,Gearbox,Worm gearbox,VF 44,,,,,,,,,,,,,,,,,,,,,,,,,,
208,200480033,,VF 44 P1 7 P71 B5 B3,5,Gearbox,Worm gearbox,VF 44,,,,,,,,,,,,,,,,,,,,,,,,,,
209,200650031,,VF 49 F1 7 P71 B5 B3,5,Gearbox,Worm gearbox,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
210,200650271,,VF 49 F1 45 P71 B5 B3,10,Gearbox,Worm gearbox,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
211,200450121,,VF 44 F1 20 P63 B5 B3,5,Gearbox,Worm gearbox,VF 44,,,,,,,,,,,,,,,,,,,,,,,,,,
212,200450151,,VF 44 F1 28 P63 B5 B3,2,Gearbox,Worm gearbox,VF 44,,,,,,,,,,,,,,,,,,,,,,,,,,
213,200650211,,VF 49 F1 28 P71 B5 B3,2,Gearbox,Worm gearbox,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
214,200650241,,VF 49 F1 36 P71 B5 B3,5,Gearbox,Worm gearbox,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
215,ME7BI0330012,,A 55 3 UH50 51.0 S4 B3 LO M 4SA 4,0,Gearmotor,,A 55,,,,,,,,,,,,,,,,,,,,,,,,,,
216,MEA70228001N,,C 22 2 F 48.6 P71 V1 DL BN 71B 4,0,Gearmotor,Inline-gear unit,C 22,,,,,,,,,,,,,,,,,,,,,,,,,,
217,MEA10131001M,,C 32 2 P 9.3 S3 B3 M 3LA 4,0,Gearmotor,Inline-gear unit,C 32,,,,,,,,,,,,,,,,,,,,,,,,,,
218,830920136,,BN 80B 4 B3,0,Motor,Electric,BN 80,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2G32010361,,W 110 U 7 P100 B5 B3,0,Gearbox,Worm gearbox,W 110,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ME70G02400BE,,A 50 3 UH50 56.8 S3 VB LO DV M 3LB 4,1,Gearmotor,Bevel-gear unit,A 50,,,,,,,,,,,,,,,,,,,,,,,,,,
221,M0068003806Z,,VF 49 P1 7 P80 B14 B3 BN 80B 4 B14 IP56,0,Gearmotor,Helical-worm gear unit,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ME56G0660055,,A 20 2 UH30 92.3 P63 B3 BN 63C 4,2,Gearmotor,Bevel-gear unit,A 20,,,,,,,,,,,,,,,,,,,,,,,,,,
223,830610506,,BN 63B 2 B5,1,Motor,Electric,BN 63,,,,,,,,,,,,,,,,,,,,,,,,,,
224,830725616,,BN 71B 4 IP56,27,Motor,Electric,BN 71,,,,,,,,,,,,,,,,,,,,,,,,,,
225,830810456,,BN 71B 2 B14 IP55,2,Motor,Electric,BN 71,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2F600215620008,,S 50 1 F 3.8 P112 B5 RAL5010 C3 LO,0,Gearbox,Stage gearbox,S 50,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2G20010641,,W 63 U 10 P80 B5 B3,4,Gearbox,Worm gearbox,W 63,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MEA801710064,,C 12 2 P 6.2 S05 B3 M 05C 4,2,Gearmotor,Inline-gear unit,C 12,,,,,,,,,,,,,,,,,,,,,,,,,,
229,MG20012102R2,,W 63 U 38 S1 B3 M 1SD 4 IP56,0,Gearmotor,Worm gearbox,W 63,,,,,,,,,,,,,,,,,,,,,,,,,,
230,8H66020005,,BN 132MA 4 IP54 B5 FA 1,0,Motor,Electric,BN 132,,,,,,,,,,,,,,,,,,,,,,,,,,
231,200550512,,VF 49 L1 F1 36 P71 B5 B3,1,GearBox,Worm gearbox,VF 49,,,,,,,,,,,,,,,,,,,,,,,,,,
232,MEA201710006,,C 32 3 P 215.6 S05 B3 M 05B 4,1,Gearmotor,Inline-gear unit,C 32,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ME6AG069001L,,A 35 2 UH40 74.3 S3 B3 M 3LA 4 IP56,0,Gearmotor,Bevel-gear unit,A 35,,,,,,,,,,,,,,,,,,,,,,,,,,
234,ME65G040001X,,A 41 2 UH45 71.3 S3 B3 M 3LA 4 IP56,0,Gearmotor,Bevel-gear unit,A 41,,,,,,,,,,,,,,,,,,,,,,,,,,
235,83102P002,,BN 90S 4 B5 IP56,2,Motor,Electric,BN 90,,,,,,,,,,,,,,,,,,,,,,,,,,
236,8U03030022,,BE 80B 4 B5 IP56,5,Motor,Electric,BE 80,,,,,,,,,,,,,,,,,,,,,,,,,,
237,M0038024003R,,VF 30 P1 70 P56 B14 B3 BN 56B 4 B14 IP56,0,Gearmotor,Helical-worm gear unit,VF 30,,,,,,,,,,,,,,,,,,,,,,,,,,
238,8F510207YV,,BN 100LA 4 B5 FD 26 NB 230 RAL7042 C3 IP55,0,Motor,Electric,BN 100,,,,,,,,,,,,,,,,,,,,,,,,,,
239,830910506,,BN 80A 2 B5 IP55,0,Motor,Electric,BN 80,,,,,,,,,,,,,,,,,,,,,,,,,,
240,830920106,,BN 80B 4 B5 IP55,0,Motor,Electric,BN 80,,,,,,,,,,,,,,,,,,,,,,,,,,
241,71B-4B5,,Motive Delphi 71B-4 B5 0.37 kW Atex,1,Motor,Electric,Motive 71,Motive,Italy,,,,,,,,,,,,,,,,,,,,,,,,
242,AGL4111FA0001,,AGL402 11 1 F A S,0,inverters,Agile,402,,Germany,,,,,,,,,,,,,,,,,,,,,,,,
243,AGL4131FA0001,,AGL402 13 1 F A S,0,inverters,Agile,402,,Germany,,,,,,,,,,,,,,,,,,,,,,,,
244,AGL2131FA0003,,AGL202 13 1 F A S,0,inverters,Agile,202,,Germany,,,,,,,,,,,,,,,,,,,,,,,,
245,200380039,,VF 30 P1 7 P63 B14 B3,0,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
246,830920156,,BN 80B 4 B14 IP55,0,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
247,MEA10131004C,,C 32 2 P 20.1 S3 B3 ME 3LA 4 IP55 ,0,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
248,MEA8012100CY,,C 12 2 P 10.1 S2 B3 ME 2SA 4 IP55 ,1,Gearmotor,Inline-gear unit,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
249,200680038,,VF 49 P1 7 P80 B14 B3,0,Gearbox,Worm gearbox,VF 49,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
250,1012B0090,,VF 110 FC2 15 HS B3,0,Gearbox,Worm gearbox,VF 110,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
251,2G28010961,,W 86 U 15 P100 B5 B3,3,Gearbox,Worm gearbox,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
252,2G32012151,,W 110 U 40 P90 B5 B3,0,Gearbox,Worm gearbox,W 110,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
253,2G280121I1,,W 86 U 40 P90 B14 B3,1,Gearbox,Worm gearbox,W 86,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
254,8D600206C5,,BN 112M 4 B5 IP56 RAL 5010 C3,0,Motor,Electric,BN 112,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
255,GE02BZ320008,,V 0.5 U P D19 P71 B3 A 1 BN 71B 4,6,Gearbox,Helical-worm gearbox,V 0.5,BVN,,,,,,,,,,,,,,,,,,,,,,,,,
256,100480030,,VF 44 P1 7 HS B3,0,Gearbox,Worm gearbox,VF 44,BVN,Italy,,,,,,,,,,,,,,,,,,,,,,,,
257,3019A015340001,,VF 185 F2 30 P132 B5 B7 RAL5010 C3 LO,0,Gearbox,Worm gearbox,VF 185,BVN,Italy,,,,,,,,,,,,,,,,,,,,,,,,
258,MG2001210026,,W 63 U 38 S1 B3 M 1SD 4 IP55,0,Gearmotor,Wormgear unit,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
259,MEA10111003Y,,C 32 2 P 33.1 S1 B3 M 1LA 4 FD,0,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
260,MEA106180009,,C 32 2 UFB 33.1 S1 V1 DL M 1LA 4 FD,0,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
261,200380189,,VF 30 P1 40 P63 B14 B3,3,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
262,200480038,,VF 44 P1 7 P71 B14 B3,5,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
263,200480068,,VF 44 P1 10 P71 B14 B3,5,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
264,200480098,,VF 44 P1 14 P71 B14 B3,5,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
265,200480099,,VF 44 P1 14 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
266,200480189,,VF 44 P1 35 P63 B14 B3,5,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
267,200480249,,VF 44 P1 60 P63 B14 B3,2,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
268,200480339,,VF 44 P1 100 P63 B14 B3,2,Gearbox,Worm gearbox,VF 44,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
269,200680218,,VF 49 P1 28 P80 B14 B3,5,Gearbox,Worm gearbox,VF 49,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
270,200380068,,VF 30 P1 10 P56 B14 B3,5,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
271,200380098,,VF 30 P1 15 P56 B14 B3,5,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
272,200380128,,VF 30 P1 20 P56 B14 B3,5,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
273,JB00028957,,X_BE 100LB 4 IP56 CLF B3 Spec,0,Motor,Electric,X_BE 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
274,MG322360000N,,W 110 UF1 100 P90 B5 B3 LO BN 90S 4,0,Gearmotor,Wormgear unit,W 110,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
275,3014801203,,VF 130 P1 20 HS B6 RB,0,Gearbox,Worm gearbox,VF 130,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
276,200350039,,VF 30 F1 7 P63 B14 B3,0,Gearbox,Worm gearbox,VF 30,,Italy,,,,,,,,,,,,,,,,,,,,,,,,
277,JB00028956,,X_BE 100LB 4 IP56 CLF B3 Spec RAL 7010 C3,0,Motor,Electric,X_BE 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
278,160L-4B5,,Motive Delphi 160L-4 B5 15 kW Atex,0,Motor,Electric,Motive 160,Motive,Italy,,,,,,,,,,,,,,,,,,,,,,,,
279,ACS150-03E-02A4-4,,ACS150-03E-02A4-4 0.75kW,0,inverters,MUL 1,202,ABB,China,,,,,,,,,,,,,,,,,,,,,,,,
280,KG2001150,,W 63 U 24 S1 B3 M 1LA 4,0,Gearmotor,Wormgear unit,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
281,8F16020004,,BN 71B 4 B5 FD 5 NB 230,0,Motor,Electric,BN 71,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
